"Public scheduled road passenger transport (interurban and international) by distance, Slovenia, annually"

"MEASURES";"INTERURBAN /INTERNATIONAL TRANSPORT";"DISTANCE";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance – TOTAL";28552;25359;24793;25146;26708;27735;30287;31903
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance > 20 km";18662;16502;16569;17733;19714;19708;20418;19556
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance 21-50 km";8554;7648;6964;6319;5831;6866;8448;10981
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance 51-100 km";1011;913;993;838;869;871;1068;1056
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance 101-300 km";278;255;233;223;260;258;316;296
"Passengers (1,000)";"Public scheduled transport  - TOTAL";"Distance 301 + km";47;42;33;33;35;34;37;14
"Passengers (1,000)";"Interurban public scheduled transport";"Distance – TOTAL";28148;24967;24525;24836;26448;27477;29991;31667
"Passengers (1,000)";"Interurban public scheduled transport";"Distance > 20 km";-;-;16554;17711;19683;19675;20392;19542
"Passengers (1,000)";"Interurban public scheduled transport";"Distance 21-50 km";-;-;6805;6147;5660;6698;8231;10795
"Passengers (1,000)";"Interurban public scheduled transport";"Distance 51-100 km";-;-;956;792;845;846;1059;1046
"Passengers (1,000)";"Interurban public scheduled transport";"Distance 101-300 km";-;-;188;174;245;244;299;279
"Passengers (1,000)";"Interurban public scheduled transport";"Distance 301 + km";-;-;21;12;15;14;10;5
"Passengers (1,000)";"International public scheduled transport";"Distance – TOTAL";404;392;268;310;260;259;296;236
"Passengers (1,000)";"International public scheduled transport";"Distance > 20 km";-;-;15;22;30;33;25;13
"Passengers (1,000)";"International public scheduled transport";"Distance 21-50 km";-;-;158;173;171;168;217;186
"Passengers (1,000)";"International public scheduled transport";"Distance 51-100 km";-;-;37;46;24;24;9;10
"Passengers (1,000)";"International public scheduled transport";"Distance 101-300 km";-;-;45;49;15;14;17;18
"Passengers (1,000)";"International public scheduled transport";"Distance 301 + km";-;-;13;21;20;20;27;8
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance – TOTAL";578844;551544;533087;459487;476836;497685;518626;553698
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance > 20 km";213482;203742;225367;197497;222031;223161;206774;191964
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance 21-50 km";247859;234288;199587;175846;162687;178178;204299;260961
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance 51-100 km";62269;58831;64606;48060;49076;50895;58931;60991
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance 101-300 km";40794;40460;30520;25114;30442;33057;36373;34666
"Passenger-kilometres (1,000)";"Public scheduled transport  - TOTAL";"Distance 301 + km";14440;14225;13006;12971;12600;12393;12249;5117
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance – TOTAL";555886;530622;514830;440492;461590;483242;503075;541449
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance > 20 km";-;-;225088;197266;221784;222899;206566;191893
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance 21-50 km";-;-;195864;171510;158520;174289;199816;255772
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance 51-100 km";-;-;60644;45959;47821;49641;58480;60173
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance 101-300 km";-;-;26315;22009;28768;31494;34320;31633
"Passenger-kilometres (1,000)";"Interurban public scheduled transport";"Distance 301 + km";-;-;6919;3748;4699;4919;3892;1979
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance – TOTAL";22958;20923;18257;18995;15245;14444;15551;12249
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance > 20 km";-;-;279;231;247;262;208;71
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance 21-50 km";-;-;3723;4335;4167;3889;4483;5189
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance 51-100 km";-;-;3962;2100;1255;1255;451;818
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance 101-300 km";-;-;4205;3105;1674;1563;2053;3033
"Passenger-kilometres (1,000)";"International public scheduled transport";"Distance 301 + km";-;-;6087;9223;7902;7475;8357;3138
